Gene_id	WT_rep1_exp1	WT_rep2_exp1	WT_rep3_exp1	sge1_rep1_exp1	sge1_rep2_exp1	sge1_rep3_exp1	WT_rep1_exp2	WT_rep2_exp2	WT_rep3_exp2	bip_rep1_exp2	bip_rep2_exp2	bip_rep3_exp2	mock_rep1_exp2	mock_rep2_exp2	mock_rep3_exp2
AT1G01010.1	351	266	267	311	430	445	384	654	757	689	690	708	254	177	217
AT1G01020.1	170	139	162	179	191	220	64	114	122	21	128	139	80	31	48
AT1G01020.2	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0
AT1G01030.1	256	363	312	233	384	308	786	1734	1658	1264	1657	1562	859	492	742
AT1G01040.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01040.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01050.1	5716	5130	4884	3600	4935	4839	3566	7247	8072	6756	8105	9094	4758	2709	4057
AT1G01060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.5	2	5	4	4	9	6	30	62	91	13	63	52	22	5	5
AT1G01070.1	4	7	1	5	3	6	3	4	10	0	16	14	3	0	9
AT1G01070.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080.2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AT1G01090.1	25229	26038	22560	18985	23270	21238	14458	27053	30990	29319	30858	35255	19517	9779	14798
AT1G01100.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01100.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01100.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01100.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01110.2	144	178	69	72	91	61	54	93	100	232	223	175	131	69	90
AT1G01115.1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
AT1G01120.1	3827	5815	4526	3690	4616	5161	12699	23488	27260	26360	28695	27051	8794	5815	5532
AT1G01130.1	99	140	149	55	138	156	155	320	343	304	316	267	121	72	87
AT1G01140.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01140.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01140.3	3	0	1	0	5	0	0	1	0	0	0	0	0	0	0
AT1G01150.1	2	0	1	0	5	3	1	2	9	0	7	7	3	0	5
AT1G01160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160.2	93	96	119	81	99	106	41	80	65	15	80	64	32	34	30
AT1G01170.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01170.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01180.1	3506	3486	3331	4554	4285	3753	999	1648	2296	3442	3248	3795	1745	1075	1474
AT1G01190.1	30	21	13	7	8	7	36	97	148	139	141	215	121	86	196
AT1G01200.1	53	51	39	6	22	40	92	141	144	195	91	97	129	31	61
AT1G01210.1	629	616	626	436	596	688	623	1446	1437	764	1188	1096	659	299	475
AT1G01220.1	1832	1990	2026	2021	2183	2047	1808	3756	4149	3364	3877	4304	1854	963	1372
AT1G01225.1	129	115	101	89	97	99	91	220	259	242	315	329	183	80	148
AT1G01230.1	2623	2460	2068	2158	2434	2287	1176	2183	2680	2151	2779	3236	1624	942	1212
AT1G01240.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01240.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01240.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01250.1	19	15	15	13	22	19	19	34	41	37	37	17	26	24	13
AT1G01260.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01260.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01260.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01300.1	4817	5136	4471	2834	4296	4537	4476	8545	8964	10154	9504	9743	3701	2145	3015
AT1G01305.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310.1	1	0	3	1	1	2	3	1	3	1	2	4	4	0	0
AT1G01320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01320.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340.2	4	0	2	6	2	5	1	2	0	1	4	2	1	0	4
AT1G01350.1	1715	1771	1528	1689	1904	1620	1039	2314	2424	2245	2381	2762	1232	663	1017
AT1G01355.1	38	40	52	22	52	35	62	153	173	133	205	194	59	39	73
AT1G01360.1	1253	1182	1153	1058	1239	1101	555	1084	1024	884	968	1166	689	378	608
AT1G01370.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01370.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01380.1	62	51	36	25	28	52	47	76	81	76	82	129	86	35	54
AT1G01390.1	661	541	394	107	151	201	355	483	657	692	559	623	391	207	327
AT1G01400.1	2	1	2	0	0	0	0	3	4	0	1	1	1	2	0
AT1G01410.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420.1	544	607	634	690	791	705	932	1570	1397	1228	1337	1163	610	423	453
AT1G01430.1	5866	6436	5789	3736	5290	5137	4582	9676	11444	11946	12770	13748	6951	4586	6252
AT1G01440.1	2613	2601	2319	2859	2551	2168	1090	2122	2641	2548	3235	3639	1866	1110	1537
AT1G01450.1	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0
AT1G01453.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01460.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AT1G01470.1	6821	5663	5543	4978	7853	7155	2665	6056	4373	4608	6816	4547	1522	2491	2063
AT1G01471.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480.1	87	71	31	638	192	78	6	21	14	18	24	7	1	1	5
AT1G01480.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01490.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01490.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01500.1	1202	1346	1343	1263	1498	1515	623	1514	1341	1337	1317	1511	636	320	377
AT1G01510.1	3644	3805	3553	2533	3335	3204	2099	4052	4721	4595	5518	6160	3621	2100	3680
AT1G01520.1	74	87	194	146	313	448	1520	2367	1630	388	305	173	72	28	35
AT1G01530.1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0
AT1G01540.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01540.2	1601	1398	1567	1112	1670	1646	906	2338	2351	1641	2119	2371	1551	663	1391
AT1G01550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01550.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01560.2	96	103	101	190	133	94	24	66	45	58	58	67	1	2	9
AT1G01570.1	94	92	49	78	81	60	41	90	115	122	147	178	77	46	94
AT1G01580.1	45	48	67	14	44	49	181	317	336	301	323	235	92	73	59
AT1G01590.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G01600.1	155	246	265	57	195	294	345	577	645	668	596	657	243	157	228
AT1G01610.1	3276	3711	2829	1907	3088	2973	4236	7425	8755	9531	10236	10190	4041	2882	3539
AT1G01620.1	6134	4722	1942	2920	2561	3372	2776	4359	5702	5422	7819	8115	4997	2877	4925
AT1G01620.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01630.1	1870	1931	1727	1171	1466	1646	2114	4331	4986	3686	4924	4904	1968	1080	1561
AT1G01640.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01640.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01650.1	810	855	489	967	589	570	445	652	799	1428	1144	924	424	288	347
AT1G01650.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01660.1	51	65	95	32	76	87	181	429	549	327	534	492	184	116	152
AT1G01670.1	139	178	218	94	169	143	333	846	878	632	718	885	313	180	279
AT1G01680.1	201	130	107	167	52	53	95	214	220	122	237	349	10	6	3
