Gene_id	WT_rep1_exp1	WT_rep2_exp1	WT_rep3_exp1	sge1_rep1_exp1	sge1_rep2_exp1	sge1_rep3_exp1
AT1G01010.1	351	266	267	311	430	445
AT1G01020.1	170	139	162	179	191	220
AT1G01020.2	2	0	0	2	0	1
AT1G01030.1	256	363	312	233	384	308
AT1G01040.1	0	0	0	0	0	0
AT1G01040.2	0	0	0	0	0	0
AT1G01050.1	5716	5130	4884	3600	4935	4839
AT1G01060.1	0	0	0	0	0	0
AT1G01060.2	0	0	0	0	0	0
AT1G01060.3	0	0	0	0	0	0
AT1G01060.4	0	0	0	0	0	0
AT1G01060.5	2	5	4	4	9	6
AT1G01070.1	4	7	1	5	3	6
AT1G01070.2	1	0	0	0	0	0
AT1G01073.1	0	0	0	0	0	0
AT1G01080.1	0	0	0	0	0	0
AT1G01080.2	0	0	0	0	0	2
AT1G01090.1	25229	26038	22560	18985	23270	21238
AT1G01100.1	0	0	0	0	0	0
AT1G01100.2	0	0	0	0	0	0
AT1G01100.3	0	0	0	0	0	0
AT1G01100.4	0	0	0	0	0	0
AT1G01110.1	0	0	0	0	0	0
AT1G01110.2	144	178	69	72	91	61
AT1G01115.1	0	0	1	0	0	3
AT1G01120.1	3827	5815	4526	3690	4616	5161
AT1G01130.1	99	140	149	55	138	156
AT1G01140.1	0	0	0	0	0	0
AT1G01140.2	0	0	0	0	0	0
AT1G01140.3	3	0	1	0	5	0
AT1G01150.1	2	0	1	0	5	3
AT1G01160.1	0	0	0	0	0	0
AT1G01160.2	93	96	119	81	99	106
AT1G01170.1	0	0	0	0	0	0
AT1G01170.2	0	0	0	0	0	0
AT1G01180.1	3506	3486	3331	4554	4285	3753
AT1G01190.1	30	21	13	7	8	7
AT1G01200.1	53	51	39	6	22	40
AT1G01210.1	629	616	626	436	596	688
AT1G01220.1	1832	1990	2026	2021	2183	2047
AT1G01225.1	129	115	101	89	97	99
AT1G01230.1	2623	2460	2068	2158	2434	2287
AT1G01240.1	0	0	0	0	0	0
AT1G01240.2	0	0	0	0	0	0
AT1G01240.3	0	0	0	0	0	0
AT1G01250.1	19	15	15	13	22	19
AT1G01260.1	0	0	0	0	0	0
AT1G01260.2	0	0	0	0	0	0
