sample;group;rep;temperature;imbibition;m_Alanine;m_Arginine;m_Asparagine;m_Aspartate;m_CystEIn;m_GABA;m_Glutamine;m_Glutamate;m_Glycine;m_Isoleucine;m_Leucine;m_Lysine;m_Phenylalanine;m_ProLIne;m_Serine;m_Threonine;m_Tryptophan;m_Tyrosine;m_VaLIne;m_alpha.Tocopherol;m_beta.Sitosterol;m_Campesterol;m_gamma.Tocopherol;m_Tetracosanoate;m_4MTB;m_5..methylthio.pentanenitrile;m_7MTH;m_8MTO;m_BenzoylGlucosinolate.2Breakdown;m_BenzoylGlucosinolate.3Breakdown;m_BenzoylX.Glucosinolate.3;m_Hexanenitrile.6methylthio;m_Nonanenitrile.9.methylthio;m_Octanenitrile.8.methylthio;m_Sulfite;m_U2609.4.361;m_U3122.4.202.I3M.;m_UGlucosinolatebreakdown140.4;m_UGlucosinolatebreakdown140.5;m_H2SO4;m_Citrate;m_Dehydroascorbate;m_dihydroxybenzoate;m_Fumarate;m_Galactonate;m_Gluconate;m_Glycerate;m_Malate;m_Maleate;m_Pentonate.4;m_Sinapinate.cis;m_Sinapinate.trans;m_Succinate;m_Allantoin;m_Arabitol;m_beta.indole.3.acetonitrile;m_Erythritol;m_Ethanolamine;m_myo.Inositol;m_Sorbitol;m_Urea;m_Glycerol.3.P;m_myo.Inositol.1.P;m_Phosphate;m_U2206.2.299;m_Anhydroglucose;m_Arabinose;m_Digalactosylglycerol;m_Galactinol;m_Galactose;m_Galactosylglycerol;m_Glucopyranose..H2O.;m_Glucose;m_Mannose;m_Raffinose;m_Rhamnose;m_Ribose;m_Stachyose;m_Sucrose;m_U1093.6.147;m_U1154.3.156;m_U1270.1.240;m_U1290.198;m_U1371.5.151;m_U1408.4.298;m_U1541.8.263;m_U1549.7.130;m_U1559.4.217;m_U1568.5.313;m_U1592.8.217;m_U1647.2.403;m_U1700.6.288;m_U1718.0.157;m_U1729.0.273;m_U1759.4.331;m_U1816.2.228;m_U1837.6.368;m_U1841.9.394;m_U1852.0.217;m_U1859.2.246;m_U1872.1.204.methyl.hexopyranoside.;m_U1939.1.210;m_U1958.217;m_U1983.0.217.1;m_U2012.7.361;m_U2053.6.321;m_U2053.6.321.1;m_U2076.9.204;m_U2087.6.321;m_U2109.3.305;m_U2150.9.279;m_U2170.6.361;m_U2251.5.361;m_U2271.6.249;m_U2513.2.296;m_U2513.2.296.1;m_U2588.9.535;m_U2692.9.361;m_U2779.9.361;m_U2798.377;m_U2839.3.312;m_U2857.8.342;m_U2882.5.297;m_U3008.3.457;m_U3041.1.361;m_U3063.0.361;m_U3080.7.361;m_U3100.8.361;m_U3213.1.400;m_U3218.5.297;m_U3279.7.361;m_U3701.368;m_U3898.1.204;m_U3910.6.597.Trigalactosylglycerol.;m_U4132.5.575
Low_DS_1;Low_DS;1;Low;DS;0.767047071;0.029325117;0.419735725;0.147360459;0.073655289;0.067871343;0.085097151;0.585539888;0.107736669;0.030546914;0.020215789;0.009209946;0.089790925;0.056464405;0.114608537;0.059350352;0.7643764;0.052921955;0.108157095;0.011654947;1.919888196;0.27736923;0.292450993;0.002299652;0.069353751;0.264930477;0.01806192;0.040063516;0.018129146;0.065945797;0.037566674;0.001680117;0.036840031;0.016652211;0.017217206;0.007791737;0.01157747;0.002678104;0.024462886;0.488063284;0.129332302;0.00044398;0.001512365;1.544793993;0.008560801;1.221069039;0.093062919;0.669442323;0.001606584;0.000401613;0.032393228;1.483130211;0.409714541;0.006272704;0.061753459;0.005966862;0.02778353;0.157720077;1.064577116;0.254800308;0.006234617;0.027694751;0.057571355;6.367278033;0.014054596;0.124852465;0.130545761;0.703931144;0.543552222;0.133525101;0.000174434;0.441251317;9.825679481;0.015588124;2.669878194;0.060078914;0.028174519;4.604164554;63.76834102;0.000578902;0.006996126;0.028853169;0.002380692;0.000146731;0.008675715;0.000449574;0.00499705;0.015725367;0.001405067;0.000742717;0.000805601;0.000753547;0.000835109;0.000681364;0.006579667;0.004978416;0.002625022;0.001540716;0.006372671;0.000774258;0.012189034;0.018489584;0.034256747;0.569114475;0.047495185;0.160872056;0.022576551;0.187280266;0.07157657;0.002270328;0.011189608;0.004978588;0.00103449;0.001860573;0.017866353;0.05294323;0.000950214;0.002603079;0.001194254;0.007087028;0.003778949;0.000337224;0.009954298;0.009965067;0.041459355;0.002837894;0.009455727;0.005232222;0.004652172;0.009480696;0.005640354;0.004287999;0.013930055;0.003464727;0.007175131
Low_DS_2;Low_DS;2;Low;DS;0.736074061;0.034914563;0.444754603;0.149486978;0.066624914;0.069023013;0.111321338;0.593996301;0.116613047;0.029564253;0.021966345;0.014159137;0.093450306;0.063319649;0.135027207;0.059938476;0.712301913;0.052213355;0.099351382;0.015302374;1.889234092;0.303081296;0.283069789;0.00224532;0.129625317;0.292233956;0.034300568;0.066209943;0.017967062;0.064370548;0.063793205;0.001725037;0.035777936;0.017032141;0.02285237;0.013852392;0.020988772;0.002725205;0.024354991;0.507636454;0.110361928;0.000246829;0.002141354;1.351478165;0.00687011;1.480002049;0.095657174;0.552565999;0.001107302;0.000525316;0.028232171;1.482315285;0.327438807;0.006633719;0.072031579;0.005807561;0.023240446;0.158096153;1.131074525;0.286392351;0.001719025;0.015892415;0.045134652;5.934562758;0.011232538;0.121808367;0.127207567;0.751556417;0.65072789;0.094792787;0.00019035;0.459856131;6.275128246;0.04699097;3.020401826;0.061105667;0.020812427;5.260334289;69.58652315;0.000512897;0.007188198;0.038918876;0.004570208;0.000670025;0.009792704;0.000393351;0.002138703;0.015717386;0.001227466;0.000571803;0.001104317;0.00072614;0.000940731;0.000699077;0.004949684;0.004259558;0.003789185;0.004383476;0.00524471;0.000677609;0.009119778;0.018082636;0.033881791;0.663420851;0.042896287;0.151476082;0.031333601;0.064790666;0.067798173;0.001873531;0.012724743;0.005090704;0.001002254;0.001505384;0.026249852;0.058142667;0.000424677;0.003622619;0.000734664;0.00981974;0.003950966;0.000370758;0.00903993;0.008120398;0.054279488;0.004868757;0.010355224;0.010208609;0.003220889;0.009831164;0.00825574;0.004539844;0.019299335;0.003971979;0.004760962
Low_DS_3;Low_DS;3;Low;DS;0.812803189;0.046429932;0.434730864;0.140378787;0.127331686;0.076388119;0.110210481;0.522253647;0.147028681;0.033741244;0.027256833;0.014514954;0.096695853;0.065097229;0.156913803;0.076010969;0.828505967;0.062298077;0.115849243;0.014158211;1.989719803;0.318920037;0.291200388;0.002909435;0.074694415;0.242379377;0.020770955;0.043501565;0.017130884;0.071253397;0.043345607;0.001553117;0.038647511;0.017131789;0.007780398;0.010099836;0.014598063;0.003245658;0.028446091;0.515359047;0.197543808;0.000284371;0.001902441;1.634582031;0.015503097;1.710057373;0.124812818;0.871179181;0.001031797;0.000820483;0.027936584;1.330239095;0.436315434;0.007138046;0.07221825;0.005857677;0.036460217;0.212076221;1.163779468;0.355763497;0.011818985;0.018331262;0.058337212;6.63384066;0.018633552;0.09281432;0.11503742;0.751243665;0.486294586;0.066741251;0.000167455;0.458232736;12.08532574;0.074736793;3.036778585;0.061428086;0.036649106;5.128583275;68.00733898;0.000495675;0.00836639;0.031243092;0.001276942;0.000369689;0.008787668;0.000700872;0.001580655;0.016454496;0.000886207;0.000759185;0.001053415;0.000474091;0.000839262;0.000731049;0.005176478;0.003329774;0.003359431;0.005026722;0.003685776;0.000674194;0.011122707;0.021922699;0.033367756;0.671882254;0.053836441;0.159731833;0.023213926;0.227753712;0.068381282;0.00274797;0.010726529;0.004083662;0.00078144;0.001468403;0.025237675;0.052567468;0.001015195;0.003682887;0.001313627;0.008163646;0.003637838;0.000237651;0.008547332;0.007659813;0.046765494;0.005084584;0.009510589;0.004956455;0.002420905;0.009291544;0.007470947;0.003978955;0.016257726;0.004550704;0.005723521
Medium_DS_1;Medium_DS;1;Medium;DS;0.429987861;0.021028136;0.583022003;0.28173995;0.054387281;0.08047531;0.083014858;1.286398062;0.104911126;0.053982475;0.039801942;0.015186307;0.071536653;0.050713816;0.214929226;0.111271232;0.277259047;0.047541532;0.128295785;0.014787828;1.891628061;0.302037713;0.352021643;0.000744185;0.558864451;0.436973369;0.098481764;0.143968675;0.020603757;0.055868857;0.151425052;0.003379372;0.028481703;0.018200388;0.027521134;0.06069445;0.07161776;0.003832789;0.028017566;0.671908982;0.16117274;0.000194637;0.001107821;1.710308009;0.040388459;2.037429896;0.066081875;0.725391254;0.001262103;0.00200519;0.026002142;1.735187542;0.276764934;0.011241245;0.070044182;0.004970606;0.022941563;0.136565922;1.161271311;0.404444926;0.000496672;0.025069998;0.081228239;8.781366709;0.017323469;0.252991623;0.143419387;0.956526838;3.508501327;0.145013575;0.000188121;0.507325549;6.022047172;0.067004341;2.397146319;0.085361268;0.030203043;5.958751989;81.41855975;0.000944288;0.011374884;0.080884991;0.006022104;0.000652227;0.031473601;0.000628223;0.005505354;0.01602578;0.002027742;0.002059103;0.001787796;0.001153325;0.001570448;0.00089201;0.008177845;0.005102921;0.003164492;0.000688251;0.015466966;0.000726667;0.011898629;0.017570213;0.046529941;0.494223188;0.038525226;0.209054704;0.035393679;0.083371926;0.092638581;0.002899013;0.013951457;0.008961374;0.000849173;0.002714019;0.023419447;0.04321981;0.000708561;0.006533976;0.001256141;0.006955084;0.003531596;0.000453922;0.008256782;0.010307098;0.05950489;0.002514542;0.013511705;0.036105114;0.002510795;0.005334038;0.028697357;0.004668194;0.036277114;0.005326589;0.0080189
Medium_DS_2;Medium_DS;2;Medium;DS;0.513079988;0.011900091;0.545867518;0.308790207;0.033108516;0.070034556;0.126291681;1.174695734;0.118575382;0.057259034;0.042633532;0.016886478;0.086034397;0.069347082;0.193796832;0.112901246;0.323306207;0.060115295;0.133334782;0.012998271;1.928438927;0.302984993;0.342594158;0.001207853;0.500018501;0.416751771;0.082413136;0.127420619;0.019677093;0.056346677;0.141209074;0.002612413;0.028384536;0.017243897;0.040379624;0.056570856;0.068848726;0.003914062;0.0264147;0.608499047;0.25080807;0.000321085;0.00204486;2.107312388;0.039047895;2.263618537;0.089289909;1.044286819;0.000731955;0.001097856;0.025096256;1.471295345;0.299049797;0.011120373;0.062100623;0.004621678;0.028314304;0.171991562;1.178085612;0.430881536;0.006567816;0.025411637;0.075773782;7.982789611;0.015834118;0.19008509;0.160314624;0.914523603;2.969518736;0.180177594;0.000222471;0.48236005;11.83445002;0.063185444;2.420407512;0.078232778;0.03830958;5.818047047;77.72510731;0.001057311;0.010083261;0.075633675;0.002335562;0.0001015;0.024382691;0.000522616;0.001409146;0.014498614;6.77E-05;0.000774286;0.001298376;0.000713339;0.001256673;0.000811613;0.006310739;0.005462526;0.003452729;0.003936658;0.008091394;0.000721917;0.009046217;0.016883942;0.037981344;0.601375751;0.046295046;0.175842528;0.036422442;0.075186881;0.073253133;0.002275121;0.011528321;0.008046459;0.002099607;0.002037624;0.030394394;0.048376965;0.001000364;0.007336028;0.002128828;0.00847886;0.002539119;0.000433748;0.005219952;0.007522926;0.059312258;0.005214431;0.014705142;0.031962599;0.002827422;0.004069525;0.02896486;0.003951672;0.034939667;0.004261767;0.003926316
Medium_DS_3;Medium_DS;3;Medium;DS;0.469660867;0.019769523;0.569687547;0.327858245;0.028868654;0.075929687;0.072202879;1.246570147;0.121854211;0.063799668;0.042363551;0.01301811;0.087114876;0.042219385;0.208224451;0.119594861;0.301157247;0.057292895;0.14067996;0.014663816;2.017613135;0.335102298;0.352782665;0.001747998;0.625847053;0.37805179;0.112167322;0.166196878;0.017855064;0.052614308;0.195216786;0.002571471;0.02451436;0.01678385;0.035578855;0.077748644;0.08515765;0.003602764;0.021958309;0.733474874;0.293151163;0.000273123;0.001357179;2.908469581;0.030355717;2.428749146;0.092906564;1.292515665;0.001491837;0.001656908;0.024985153;1.542904008;0.307907862;0.010767061;0.07231499;0.005811097;0.028884036;0.159766792;1.164304834;0.330597722;0.006312619;0.026439476;0.074600575;8.724025585;0.017494246;0.21463033;0.174247438;0.948978113;3.149141524;0.218945888;0.000204865;0.5384533;7.641837461;0.070049765;2.556774818;0.086815828;0.032429582;6.028455291;80.66751093;0.000729311;0.010032663;0.096548263;0.004382541;0.000279728;0.036460067;0.00054506;0.002769446;0.014656182;0.000313467;0.000560006;0.001480938;0.000729892;0.001631112;0.00071926;0.006751591;0.004735742;0.002799447;0.003044107;0.010942208;0.000674131;0.010295087;0.015251145;0.037642937;0.476463511;0.030686193;0.164852622;0.034699958;0.067420516;0.069473576;0.003096035;0.011751659;0.008245832;0.001934267;0.002132781;0.029778794;0.041392745;0.001559054;0.0080481;0.001365302;0.008813461;0.003154872;0.000512543;0.007263406;0.007093224;0.062172542;0.003877964;0.014161003;0.043239101;0.002457522;0.00509096;0.035650319;0.003999334;0.028930231;0.003932551;0.005910254
Elevated_DS_1;Elevated_DS;1;Elevated;DS;0.397505452;0.019419917;0.758655239;0.414793385;0.044382509;0.073849737;0.126930224;1.354406489;0.197162558;0.092303171;0.063159459;0.017939079;0.089395929;0.16174942;0.301091804;0.193391358;0.138955435;0.05421138;0.169334799;0.014852878;1.727882544;0.292493999;0.375755748;0.001058864;1.403958737;0.589945454;0.177698445;0.16889111;0.022353603;0.026366028;0.140499809;0.004673008;0.01999975;0.01926007;0.070505259;0.06617259;0.116565686;0.006164374;0.029323475;0.716911534;0.201668551;0.000348095;0.000993932;0.926208926;0.041535492;2.232489103;0.053355103;0.92076617;0.00037709;0.001357828;0.023250423;1.45042869;0.174064379;0.010811897;0.07573481;0.002469904;0.025573762;0.175639231;1.114885463;0.31813059;0.007059509;0.045270332;0.092342332;9.454930215;0.018931153;0.33992109;0.156047408;1.110001264;7.964662016;0.269166507;0.000231123;0.65310691;9.37146392;0.107389748;2.42994996;0.133550038;0.027996472;5.855897984;82.30512991;0.000665388;0.00638418;0.152646753;0.008186878;0.000473547;0.06304981;0.000845503;0.003319234;0.012888244;0.000530749;0.000795979;0.00139991;0.001014341;0.002398038;0.001006327;0.007434446;0.007234492;0.003639816;0.001419976;0.021456864;0.000999802;0.011786935;0.017275788;0.048741831;0.457275337;0.025356186;0.228409374;0.04939367;0.335768616;0.09220875;0.0029132;0.010854977;0.013726878;0.002917237;0.002015923;0.029146319;0.035290584;0.000712629;0.019679968;0.001109221;0.003219621;0.00159971;0.00084477;0.00279397;0.006833831;0.099040063;0.003728246;0.01830889;0.07746618;0.00336715;0.001303402;0.052755224;0.003022327;0.006968613;0.004222804;0.008470787
Elevated_DS_2;Elevated_DS;2;Elevated;DS;0.26251042;0.004434792;0.608061496;0.316539931;0.027107143;0.062888329;0.099581128;1.11748655;0.142963776;0.062685054;0.037039133;0.014024162;0.063202182;0.019596308;0.221766506;0.150293982;0.135292232;0.039105076;0.120790081;0.014418323;1.805383502;0.303686763;0.355307975;0.001927391;1.749708583;0.373752185;0.238207815;0.2364105;0.0185636;0.01751655;0.162860897;0.002453539;0.014500106;0.012885111;0.081112784;0.08066251;0.133601701;0.004518512;0.02363989;0.622969129;0.126672709;0.000198112;0.001795663;0.479274135;0.022137096;1.821211285;0.037703472;0.432370931;0.000452883;0.001252422;0.019652342;1.060401493;0.099831333;0.01022026;0.05196796;0.003248431;0.021071737;0.146923021;0.942082125;0.355275472;0.00051299;0.030393156;0.048254361;5.606629765;0.010384153;0.220399735;0.125660867;0.968425842;7.066392026;0.211326664;0.00030085;0.523340214;9.003009436;0.04481763;2.145559089;0.130604051;0.028860774;4.746672373;74.95089238;0.000629374;0.00346861;0.185486456;0.003440087;0.000118379;0.063246562;0.000339569;0.000697112;0.011795711;0.000216267;0.00076253;0.000595962;0.000939915;0.001890189;0.000832823;0.003546471;0.004302101;0.003668011;0.007560181;0.008707878;0.000721006;0.008612831;0.01267235;0.028863804;0.327955626;0.014919954;0.132440454;0.049970344;0.184400614;0.05074545;0.00156787;0.009320982;0.008702883;0.001389037;0.001475439;0.042452248;0.041697563;0.000356839;0.019498698;0.000466899;0.003648027;0.00103474;0.000588648;0.001923527;0.003330636;0.062320803;0.006034899;0.01573784;0.053695106;0.002577356;0.000775165;0.072449666;0.003124968;0.005006793;0.004232367;0.002054334
Elevated_DS_3;Elevated_DS;3;Elevated;DS;0.283567422;0.01008077;0.671366145;0.389349709;0.039103189;0.05781067;0.088611478;1.356143106;0.161431032;0.075157593;0.045635574;0.013763559;0.077223209;0.031942179;0.2671829;0.179289338;0.120248403;0.046099662;0.138503101;0.017912667;1.855951076;0.302878482;0.382823076;0.001142964;1.670742163;0.463349337;0.20746431;0.20072243;0.017612339;0.018412062;0.153989821;0.002946444;0.015703518;0.014401824;0.071761897;0.073468837;0.11949724;0.004668236;0.022888804;0.739535415;0.159814461;0.000307108;0.000977196;0.596761995;0.02385685;1.792772114;0.038040437;0.604110737;0.000489113;0.001218297;0.020131567;1.308916777;0.128959905;0.01069702;0.06193607;0.002178275;0.022861938;0.164634798;0.97821559;0.356040031;0.008561636;0.038442979;0.061730683;7.773059111;0.014570128;0.303831034;0.140561423;1.135310409;8.290710141;0.221641646;0.000858747;0.573301901;8.155948859;0.092138359;2.369453006;0.152884101;0.032495476;5.637776602;84.1847854;0.000799146;0.004182889;0.173983134;0.004441161;0.000269794;0.065640747;0.000555775;0.001375742;0.009728147;0.001058822;0.000650788;0.001234816;0.000762982;0.001928084;0.000695789;0.003955599;0.006417826;0.003410393;0.004097785;0.011184967;0.000465584;0.00906573;0.012366299;0.033535925;0.350608019;0.014649875;0.150177602;0.062730471;0.203148861;0.058560446;0.002851413;0.010723164;0.01042226;0.003047056;0.00133057;0.035246883;0.02848673;0.00063352;0.019249289;0.000536073;0.000742957;0.001335166;0.000791175;0.002267017;0.004395341;0.068175852;0.004395695;0.015102787;0.060905831;0.002882048;0.000772069;0.064211547;0.003311298;0.05471121;0.003610797;0.00501938
Low_EI_1;Low_EI;1;Low;EI;0.122453376;0.008244028;0.977794268;0.959239681;0.059763261;0.017259355;0.377293346;1.019181637;0.031318083;0.084505461;0.058997524;0.012859341;0.169343401;0.038958286;0.29848681;0.109319354;0.870502668;0.114346799;0.201499363;0.013738187;2.042802683;0.307199168;0.26428538;5.91E-05;0.012680594;0.219949776;0.001910424;0.002964773;0.016875584;0.062886492;0.006441112;0.001020025;0.022634333;0.00844046;0.004898553;0.000814788;0.002797906;0.003812081;0.0313;0.373727879;0.247712256;0.000432304;0.000347532;0.847361994;0.033333246;0.335997411;0.028664212;0.467960199;0.002695172;0.000872043;0.033949181;1.627350636;0.053515472;0.008886679;0.044211444;0.009879814;0.017178539;0.370599387;0.367232695;0.111096717;0.012251265;0.021817802;0.042524101;6.222361541;0.020486387;0.127218529;0.040042032;0.751977142;1.896023788;0.192505626;0.000441087;0.18392127;37.57567508;0.059986999;2.265993818;0.023196463;0.027155348;5.179183653;65.08668098;0.000550538;0.007149279;0.013203982;0.002556211;0.000994508;0.003034416;0.000743076;0.006893533;0.016397442;0.002033423;0.000754704;0.000937229;0.000781366;0.000783866;0.000622352;0.005722784;0.005165062;0.002561748;0.001927966;0.010695028;0.000640518;0.01050567;0.022290806;0.027215531;0.469784315;0.058541834;0.137940341;0.022103371;0.052964481;0.061454235;0.00178942;0.013864348;0.005772766;0.000732052;0.001983367;0.016108593;0.05649849;0.000870547;0.001077646;0.001663988;0.00791281;0.005490086;0.000720645;0.009623422;0.00973409;0.024880177;0.000258532;0.005641675;0.000299732;0.001333011;0.011689306;0.000416998;0.005170105;0.009528604;0.004116886;0.010758983
