protein	Elevated_LI_1	Elevated_LI_3	Elevated_LI_2	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Elevated_DS_1	Elevated_DS_3	Elevated_DS_2	Low_LI_1	Low_LI_2	Low_LI_3	Low_EI_3	Low_EI_1	Low_EI_2	Low_DS_1	Low_DS_3	Low_DS_2	Medium_LI_1	Medium_LI_2	Medium_LI_3	Medium_EI_2	Medium_EI_1	Medium_EI_3	Medium_DS_1	Medium_DS_3	Medium_DS_2
p_AT1G01900.1	8.3486797292	8.6061943001	8.5266078831	8.420953533	8.5519694987	8.5600820615	8.2840529836	8.3027475213	8.3149187921	8.7401208179	8.5941675243	8.5615076558	8.7418503151	8.4699576118	8.7082900979	8.4315025903	8.6383674173	8.4478375305	8.4881517101	8.4416994557	8.6054297819	8.3741007952	8.5816537158	8.5436717788	8.3800313149	8.3786875343	8.3038151056
p_AT1G02305.1	6.5452781421	6.6544128724	6.9058717324	6.7216782338	6.6288127033	6.6260932326	6.402838551	6.7162407597	6.8616406502	7.4465950093	7.6416206202	7.2774786137	7.5029639204	7.6499939131	7.3925334223	7.5096895531	7.5089257265	7.4866439092	7.0709738983	7.2171693511	7.1368870001	7.4404667423	7.2429057503	7.269167427	7.5562738412	7.2447308746	7.2669921054
p_AT1G02700.1	6.9216726893	6.7546506091	6.7989753152	6.9653282971	6.8448249449	7.0751898378	7.3945942143	7.3574376876	7.4217978	6.848162191	6.9499574231	7.121805528	7.1092340383	6.7672174012	6.9466789487	7.0138967942	7.2316423233	7.3762954691	6.8751392267	7.3994332932	6.9691357993	7.0289171691	7.0606119357	6.9308823883	7.4293123532	7.5383682269	7.5574301194
p_AT1G02780.1	7.8256109866	7.6376143383	7.7438195193	7.6477754944	7.4977747461	7.7041739141	7.5006429742	7.5203912624	7.5480676074	7.6595531242	7.9043920137	7.7617945038	7.7563903299	7.7662480538	7.8461120284	7.6780906541	7.3520672331	7.4244271973	7.7402040088	7.5194096398	7.8054321867	7.6981135657	7.8429523194	7.7969861349	7.2330294997	7.2486696032	7.3224399504
p_AT1G03680.1	7.2988639955	7.0896049533	7.0762258389	7.2286353235	7.2764162093	7.3618045359	7.5765947727	7.4280655054	7.3363902128	6.9908540643	7.0796293311	7.285789332	7.2339174947	7.2101223505	7.1832266687	7.3583542225	7.268140056	7.6030603164	7.1244855028	7.269527895	7.2543229943	7.3224820183	7.4015095367	7.2907725546	7.7149713987	7.756810216	7.6384847394
p_AT1G03890.1	9.0530189041	9.0751488737	9.0214454581	9.0609187566	9.0759374174	9.0620606313	8.9100990217	8.8896538746	8.9551104334	9.0902017049	9.076776338	9.1806175665	8.5172915125	8.9882159223	9.0169713254	8.8688586435	8.7388414763	8.9280545042	8.9869372944	8.9281001418	9.1640875812	9.1732180711	9.0290658679	9.1912844441	8.9714207387	8.9750222312	8.9292909813
p_AT1G04170.1	7.182533637	7.0889374085	7.1491077231	7.0256422928	7.0655168446	7.1625375191	7.1174837523	7.0713903546	7.1493175284	6.9994492693	7.1028732027	7.0742538116	6.9868384962	7.0950332204	6.7804970408	7.0002154382	7.040612779	6.9177934696	7.1317154525	7.296309015	7.1607865667	7.0970120328	7.0759852456	7.0071246383	7.0105570794	6.872323812	7.1034112384
p_AT1G04480.1	8.4786090078	8.5155982316	8.2942954683	8.2243190398	8.1467442856	8.3135320836	8.1264382297	7.9455556336	8.0765427221	8.246450961	8.1544721722	8.0241836405	8.1190586966	8.0706287818	8.3516832548	8.0212850068	7.9702802751	7.916198919	8.4323565533	8.3664219414	8.2968680475	8.1902843076	8.3642895428	8.2203730048	8.0357104407	7.819211003	7.8862503888
p_AT1G04580.1	6.9754899786	7.151373158	7.0233718753	6.8504988534	7.0795080769	6.9762549502	6.6595748807	7.0216262475	7.0774048757	7.3568960154	7.2844728164	7.2474155175	7.182202797	7.1368541541	7.3951461799	6.7622461611	7.1339562623	7.364803443	7.147337133	7.1484138712	7.2173492851	7.2146314952	7.1542303973	7.2479417965	7.1675969866	7.291922579	7.2179902238
p_AT1G05510.1	8.3051859212	8.1587581416	8.0920683644	8.4061845606	8.4218343557	8.5145142883	8.784828776	8.8199202242	8.4905968966	8.2768259652	8.4714842739	8.5100985287	8.7304989914	8.4148040163	8.389035355	8.7697280065	8.6492550117	8.6699799424	8.3908294265	8.64274186	8.1600182813	8.4849363675	8.1267351312	8.2941197945	8.8617955113	8.6448525197	8.7388902852
p_AT1G07080.1	7.1337313902	7.0717679719	7.1643416877	7.0306955088	7.4298548159	7.1975656434	7.5574348527	7.3923176415	7.4504755	7.1989081231	7.4989308448	7.6818234849	7.3171928123	7.0306955088	7.2058091232	7.3450250186	7.2941310991	7.2416144606	7.4377902356	7.5116763747	7.5032922766	7.2896505109	7.1517113877	7.3973791766	7.3926047272	7.3299536081	7.4096791449
p_AT1G07140.1	7.1810701379	7.0201243081	7.3128844342	7.2455838137	7.1713927287	7.3196080085	7.5271189709	7.5119350294	7.4704320494	6.9807943945	7.2482542057	7.2945183104	7.3119898351	7.152250943	7.0449452585	7.3088154439	7.3444203489	7.4534258785	7.2285689975	7.5472295036	7.1289759311	7.306491642	7.000719824	7.0904695327	7.5614097871	7.4250932746	7.5820177912
p_AT1G07645.1	7.4282047218	7.4851017932	7.3304761433	7.5287910912	7.2903841667	7.5874357786	7.6874708425	7.684608757	7.8916764971	7.3365557562	7.3799394294	7.4265494952	7.6925132653	7.6473676261	7.4930113457	7.4987050364	7.7100248596	8.133662184	7.4278986164	7.3349163829	7.7485247595	7.4166328725	7.8725916452	7.4353743208	8.2762712837	8.2169244908	8.1057568627
p_AT1G07750.1	7.3455535299	7.4534709482	7.3796058928	7.3752407879	7.3425844077	7.2943586458	7.3456324067	7.3074596674	7.4218949599	7.660862223	7.5588382504	7.5857738183	7.5466665296	7.5707287669	7.6902497279	7.5613638701	7.5175670975	7.598105117	7.5116460244	7.4319353335	7.5111286799	7.4589710305	7.6407693831	7.6089924274	7.4613312302	7.4796215011	7.4979472915
p_AT1G07920.1	8.8261131352	8.3263178705	8.9579204556	8.9073764574	8.5955109622	8.6840925603	8.8142344394	8.4523296735	8.9062477565	8.3237933945	8.7700161207	8.5713655509	8.5494988865	8.9360253807	8.357640916	8.5868134081	8.5014324546	8.5562871516	8.8470502417	8.8647009632	8.7290223041	8.988775971	8.6383006547	8.8298252876	8.8946323191	8.511518378	8.9486806407
p_AT1G07985.1	7.1189360267	7.261914208	7.4455654376	7.337344986	7.1889200409	7.4009506575	7.4798975679	7.5572188494	7.536687145	7.6073702544	7.6339946782	7.3542939894	7.816693733	7.7664118977	7.5409354398	7.8516061365	7.8949698303	7.7686199254	7.4377242095	7.5122646761	7.2953677059	7.4527222754	7.2717065537	7.4671385548	7.7834233483	7.46747017	7.7898933059
p_AT1G08830.1	7.5931916413	7.3443676019	7.5857569024	7.6894478302	7.5897227751	7.4441965281	7.4802503079	7.6282428337	7.2173735179	7.3353172364	7.5424319124	7.4346049134	7.4674772664	7.4973481965	7.3731341784	7.5395053643	7.2073555978	7.4522385179	7.4869821159	7.7127271382	7.5686654702	7.7308458084	7.6794431369	7.6039477636	7.7645632025	7.3905964898	7.5785463913
p_AT1G09620.1	7.3532099991	7.3798665133	7.3521811398	7.3134997457	7.2093082626	7.2663469062	7.2230952261	6.9143453167	7.2355660231	7.2311875837	7.1186786752	7.055020793	7.0672505572	6.9901489493	7.140042505	6.9084854778	6.9185833649	7.0043646076	7.2669291177	7.2191790175	7.2436709653	7.1536298584	7.2334433309	7.1958152378	6.9907704366	6.9790336788	6.9848127571
p_AT1G09640.1	7.7774945637	7.6950974484	7.7641708513	7.7420737208	7.8278566695	7.9981380447	8.0400244438	8.0012647992	8.0908909011	7.6893188874	7.8443626445	7.8242862248	7.8589067054	7.6258340418	7.6793186797	7.8712075551	7.8254084679	7.8585699609	7.7698991585	8.0797312716	7.771210373	7.8516703023	7.7260100874	7.651272121	7.9757952002	7.844076989	7.8926269488
p_AT1G11840.1	8.368841756	8.2877857636	8.3007344457	8.3937466263	8.2464414448	8.2416789222	8.2342477169	8.1362255189	8.1273181182	8.2518097436	6.4825403796	8.3928069769	8.0653524423	8.4537427122	8.3250677333	8.3229195763	8.1382447916	8.3573212344	8.4503735898	8.1889046025	8.4450113172	8.3327640737	8.3248433362	8.4297756548	8.3355881994	8.3777408732	8.1310239827
p_AT1G11910.1	8.4682236156	8.3421344645	8.5273937882	8.4153384507	8.4990965446	8.4757851383	8.3128651207	8.242496758	8.5135378795	8.5879532982	8.6444770638	8.6378516915	8.5679268281	8.4598647264	8.489846378	8.494448052	8.5872959086	8.4620454536	8.5940331319	8.4604934859	8.6216573506	8.5509286764	8.4940551369	8.623830177	8.3949211862	8.6157863815	8.4245751255
p_AT1G13930.1	6.4162768663	6.3527793154	6.8285425466	7.0191985723	6.8521763257	6.9600492615	7.3189347726	7.4562738851	6.6735132502	7.104902212	7.4661576138	7.2778221374	7.444066546	7.2440615428	7.2526406517	7.4376017376	7.1593112211	7.3221335012	7.1579785026	7.3746458926	7.1002476944	7.4058961122	7.2819207298	7.2031390963	7.4483203367	7.2509376485	7.3082525902
