labels	factor1	factor2
WT_control_rep1	WT	control
WT_control_rep2	WT	control
WT_control_rep3	WT	control
dbMT_control_rep1	dbMT	control
dbMT_control_rep2	dbMT	control
dbMT_control_rep3	dbMT	control
dbMT_treated_rep1	dbMT	treated
dbMT_treated_rep2	dbMT	treated
dbMT_treated_rep3	dbMT	treated
oxMT_control_rep1	oxMT	control
oxMT_control_rep2	oxMT	control
oxMT_control_rep3	oxMT	control
oxMT_treated_rep1	oxMT	treated
oxMT_treated_rep2	oxMT	treated
oxMT_treated_rep3	oxMT	treated
siMT_control_rep1	siMT	control
siMT_control_rep2	siMT	control
siMT_control_rep3	siMT	control
siMT_treated_rep1	siMT	treated
siMT_treated_rep2	siMT	treated
siMT_treated_rep3	siMT	treated
WT_treated_rep1	WT	treated
WT_treated_rep2	WT	treated
WT_treated_rep3	WT	treated
